Early Voting Locations,Total,04/22/19,04/23/19,04/24/19,04/25/19,04/27/19,04/29/19,04/30/19,*05/04/19
Adams Elementary School,130,0,0,0,0,0,0,0,130
Adams Hill Elementary School,156,0,0,0,0,0,0,0,156
Adante Independent Living,329,0,0,0,0,0,0,0,329
Agnes Cotton Academy,358,0,0,0,0,0,0,0,358
Alamo Convocation Center,136,0,0,0,0,0,0,0,136
Alamo Heights City Hall,397,0,0,0,0,0,0,0,397
Alamo Heights United Methodist Church,278,0,0,0,0,0,0,0,278
Alan B. Shepard Middle School,81,0,0,0,0,0,0,0,81
Antonio Margil Elementary School,91,0,0,0,0,0,0,0,91
Artemisia Bowden Academy,194,0,0,0,0,0,0,0,194
Balcones Heights City Hall,180,0,0,0,0,0,0,0,180
Barkley-Ruiz Elementary School,116,0,0,0,0,0,0,0,116
Beard Elementary School,273,0,0,0,0,0,0,0,273
Beacon Hill Academy,109,0,0,0,0,0,0,0,109
Behlau Elementary School,424,0,0,0,0,0,0,0,424
Bella Cameron Elementary School,60,0,0,0,0,0,0,0,60
Bexar County Elections Department,1051,95,88,76,117,86,189,400,0
Bexar County Justice Center,1037,148,137,91,158,0,163,340,0
Big Country Elementary School,614,0,0,0,0,0,0,0,614
Blessed Sacrament Catholic Church,202,0,0,0,0,0,0,0,202
Blattman Elementary School,127,0,0,0,0,0,0,0,127
Blossom Athletic Center,108,0,0,0,0,0,0,0,108
Bob Hope Elementary School,99,0,0,0,0,0,0,0,99
Bode Community Center,172,0,0,0,0,0,0,0,172
Bonham Academy,157,0,0,0,0,0,0,0,157
Boone Elementary School,186,0,0,0,0,0,0,0,186
Bradley Middle School,115,0,0,0,0,0,0,0,115
Brandeis High School,503,0,0,0,0,0,0,0,503
Brauchle Elementary School,132,0,0,0,0,0,0,0,132
Brentwood Steam School II,85,0,0,0,0,0,0,0,85
Brookhollow Branch Library,6250,517,659,456,694,842,1146,1618,318
Bulverde Creek Elementary School,161,0,0,0,0,0,0,0,161
Burke Elementary School,106,0,0,0,0,0,0,0,106
Bush Middle School,257,0,0,0,0,0,0,0,257
Candlewood Elementary School,285,0,0,0,0,0,0,0,285
Carnahan Elementary School,215,0,0,0,0,0,0,0,215
Carlos Coon Elementary School,203,0,0,0,0,0,0,0,203
Carson Elementary School,253,0,0,0,0,0,0,0,253
Castle Hills City Hall,2647,192,226,174,259,325,411,721,339
Central Library,232,0,0,0,0,0,0,0,232
Charles Clyde Ball Academy,42,0,0,0,0,0,0,0,42
Charles Graebner Elementary School,82,0,0,0,0,0,0,0,82
China Grove City Hall,122,0,0,0,0,0,0,0,122
Christian Family Baptist Church,0,0,0,0,0,0,0,0,0
Church of Reconciliation,209,0,0,0,0,0,0,0,209
Churchill High School,118,0,0,0,0,0,0,0,118
Cibolo Green Elementary School,31,0,0,0,0,0,0,0,31
Olmos Park City Hall,126,0,0,0,0,0,0,0,126
Clark High School,131,0,0,0,0,0,0,0,131
Claude Black Community Center,1264,93,99,38,129,87,170,319,329
Clear Spring Elementary School,50,0,0,0,0,0,0,0,50
Cleto L. Rodriguez Elementary School,40,0,0,0,0,0,0,0,40
Cody Branch Library,4189,420,422,281,483,575,730,1129,149
Cody Elementary School,127,0,0,0,0,0,0,0,127
Cole Elementary School,24,0,0,0,0,0,0,0,24
Colby Glass Elementary School,176,0,0,0,0,0,0,0,176
Collier Elementary School,139,0,0,0,0,0,0,0,139
Collins Garden Branch Library,830,71,77,43,86,79,121,278,75
Colonial Hills United Methodist Church,342,0,0,0,0,0,0,0,342
Colonies North Elementary School,172,0,0,0,0,0,0,0,172
Community Alliance Traffic,104,0,0,0,0,0,0,0,104
Connally Middle School,160,0,0,0,0,0,0,0,160
Old Converse City Hall,10,0,0,0,0,0,0,0,10
Copernicus Community Center,755,74,71,48,112,59,142,249,0
